year,radiacao_global_null,mean_null_all_columns,column_with_most_nulls,max_null_percentage
2015,5.582191780821918,5.45879539030224,vento_rajada_maxima,6.13013698630137
2016,3.8365209471766852,4.938090901205656,precipitacao_total_horario,28.97313296903461
2017,54.20091324200913,51.6612307023266,vento_rajada_maxima,54.38356164383562
2018,14.76027397260274,14.12426614481409,vento_rajada_maxima,15.068493150684931
2019,1.038812785388128,1.411176342683192,precipitacao_total_horario,9.531963470319635
2020,1.2408925318761386,1.1796339665192124,vento_rajada_maxima,1.2750455373406193
2021,70.58219178082192,67.24070450097847,pressao_atmosferica_max_hora_ant,70.62785388127854
2022,100.0,95.23809523809524,precipitacao_total_horario,100.0
2023,32.20319634703196,30.662644053055015,vento_direcao_horaria,32.237442922374434
2024,93.13172731932342,88.85959987958965,vento_direcao_horaria,94.36186570989237
