year,radiacao_global_null,mean_null_all_columns,column_with_most_nulls,max_null_percentage
2018,0.8535879629629629,11.7091049382716,temperatura_orvalho_max_hora_ant,27.488425925925924
2019,9.851598173515981,18.120787127636444,vento_rajada_maxima,69.20091324200914
2020,100.0,95.23809523809524,precipitacao_total_horario,100.0
2021,100.0,95.23809523809524,precipitacao_total_horario,100.0
2022,60.662100456621005,58.328984561861276,temperatura_orvalho_max_hora_ant,62.68264840182648
2023,34.269406392694066,24.651011089367255,vento_direcao_horaria,84.20091324200914
2024,64.70186229284128,37.05385109793106,vento_direcao_horaria,100.0
