year,radiacao_global_null,mean_null_all_columns,column_with_most_nulls,max_null_percentage
2015,12.899543378995434,12.334746684061754,vento_rajada_maxima,13.093607305936072
2016,14.355646630236793,13.839014658686791,precipitacao_total_horario,16.91712204007286
2017,4.292237442922374,4.1057838660578385,vento_rajada_maxima,4.3493150684931505
2018,47.1689497716895,45.17721243748641,precipitacao_total_horario,48.299086757990864
2019,7.602739726027398,7.284192215699065,vento_rajada_maxima,7.773972602739726
2020,24.578779599271403,24.1375010842224,precipitacao_total_horario,34.05054644808743
2021,18.561643835616437,18.143618177864752,vento_rajada_maxima,19.680365296803654
2022,33.97260273972603,32.772341813437706,temperatura_orvalho_max_hora_ant,36.26712328767123
2023,2.6141552511415527,9.112850619699934,temperatura_orvalho_max_hora_ant,26.244292237442924
2024,25.081154963266698,30.823427953105043,temperatura_orvalho_max_hora_ant,49.547240731248934
