year,radiacao_global_null,mean_null_all_columns,column_with_most_nulls,max_null_percentage
2015,0.01141552511415525,0.17721243748641005,vento_rajada_maxima,1.3242009132420092
2016,9.448998178506375,9.153005464480875,vento_rajada_maxima,10.507741347905283
2017,0.0,0.08969341161121981,vento_velocidade_horaria,0.6278538812785388
2018,0.0,0.2293976951511198,vento_rajada_maxima,1.404109589041096
2019,23.447488584474886,22.35431615568602,vento_rajada_maxima,24.315068493150687
2020,0.5692167577413478,0.6884812212681066,precipitacao_total_horario,8.504098360655737
2021,2.134703196347032,1.9275929549902149,precipitacao_total_horario,13.105022831050228
2022,46.08447488584475,44.668949771689505,precipitacao_total_horario,50.91324200913242
2023,0.182648401826484,0.182648401826484,vento_rajada_maxima,1.5753424657534247
2024,0.017085255424568596,0.519879915061873,vento_rajada_maxima,3.9979497693490518
