year,radiacao_global_null,mean_null_all_columns,column_with_most_nulls,max_null_percentage
2015,4.212328767123288,12.438573602957163,pressao_atmosferica_reduzida_nivel_mar_aut,36.71232876712329
2016,6.227231329690346,4.106492323705438,precipitacao_total_horario,15.562386156648452
2017,5.833333333333333,2.7527723418134378,precipitacao_total_horario,16.1986301369863
2018,5.833333333333333,4.001413350728419,precipitacao_total_horario,24.93150684931507
2019,6.735159817351597,12.304848880191344,temperatura_orvalho_max_hora_ant,36.54109589041096
