year,radiacao_global_null,mean_null_all_columns,column_with_most_nulls,max_null_percentage
2015,0.0228310502283105,0.022287453794303108,precipitacao_total_horario,0.03424657534246575
2016,20.252732240437158,19.827717061323614,precipitacao_total_horario,28.734061930783245
2017,0.14840182648401826,0.14133507284192215,precipitacao_total_horario,0.14840182648401826
2018,1.5753424657534247,1.5003261578604044,precipitacao_total_horario,1.5753424657534247
2019,27.442922374429223,26.162209175907808,vento_rajada_maxima,27.534246575342465
2020,0.07969034608378871,0.07589556769884638,precipitacao_total_horario,0.07969034608378871
2021,6.632420091324201,6.4193302891933035,vento_rajada_maxima,7.0091324200913245
2022,0.547945205479452,1.3116981952598392,precipitacao_total_horario,8.984018264840183
2023,0.410958904109589,2.6195912154816265,temperatura_orvalho_max_hora_ant,8.378995433789955
2024,54.27985648385444,54.50440555514876,temperatura_orvalho_max_hora_ant,64.8556295916624
